X1,X2,Y
3.3909711217737817,1.2524959356705434,1
1.1217348900057162,1.542826888467249,-1
1.329447684608667,2.0920505240767935,-1
2.9089463250096466,3.3359190973959256,1
3.282007564740983,1.5380005498491385,1
2.7335704489064634,3.8236028446355093,1
1.431386456527182,2.229730150184779,-1
0.9900560205461002,1.970314487959228,-1
1.419747934018638,2.7191569295647744,-1
1.7032807470519309,3.2547612452045227,-1
1.5619317012237897,2.110762975275226,-1
3.167289886931447,2.270062979473202,1
2.868172984163369,3.5084294004992316,1
1.2090235532850486,2.6474105413995455,-1
1.585249278305569,2.1413696482442366,-1
1.449884552029765,3.408480555682619,-1
0.9840155418584309,1.799514492735916,-1
1.1692495986535472,2.303738594800082,-1
0.9493916009103138,2.338134170416371,-1
3.4837226524715166,2.618109329640657,1
3.3568664761837397,2.9258423017355883,1
2.8068062461682493,1.2911331777301656,1
1.243198518257733,3.921134215843043,-1
4.142190984664028,1.6609987429390567,1
3.6724077993533153,1.135710627646481,1
1.0120921873138846,1.9334856209622304,-1
3.7386170998257025,3.3285496235005327,1
3.5103577904794383,2.7542141482496976,1
0.9636559171714043,1.2612779224317303,-1
4.026583009744739,1.7578660497874121,1
1.141459207322805,1.9089226295507489,-1
4.009516527246393,1.9958809476852661,1
3.728660068406666,1.7098451264406216,1
1.5129526264970197,2.311379225757026,-1
3.1744152624489343,1.25042775081321,1
3.0837962322178636,2.7327998476343964,1
3.11218652158181,2.5813233910755873,1
2.6069921113600363,1.9397814053744953,1
1.034316983020527,3.117723381482692,-1
0.715755950905248,2.237035864082586,-1
3.4223246023223903,3.783110559791952,1
3.776367682207284,2.4812289151915645,1
1.2039566283497132,2.3254963836697247,-1
3.7421446829731977,3.0510988527720113,1
2.9368616368782066,2.5241575835779972,1
3.272375788869514,1.9536909740149428,1
1.588350075322075,1.6915992802482092,-1
2.782017909190637,2.6605274377090864,1
0.821670348476776,2.60482089123663,-1
0.867200401748309,2.1688847320646514,-1
2.6066441768326913,2.744361572931899,1
2.402384629166965,2.8541352717946986,1
3.411107553393143,2.470937892672879,1
0.7430701790507124,4.287354123648144,-1
1.6446047957902221,2.593083039987524,-1
3.494798849114659,1.6449122992924512,1
3.7601731781360486,1.797190450109114,1
1.1824246535539602,2.7244281519641556,-1
1.0064751713531128,2.12825249203238,-1
3.0921998223688707,2.4380414249557676,1
1.2259011489835285,0.7107412857035043,-1
3.171893001610938,3.596027341260898,1
0.9074390450009469,1.4573636000688097,-1
3.4435102858459152,2.2686121330958526,1
1.3563338252167272,2.498614830752578,-1
3.977840962880761,2.6300736961911175,1
1.3252530553387707,1.480466389296754,-1
3.2592372071706492,1.99555762389046,1
2.402639148876581,1.0761949255773453,1
2.158004558069411,1.7175654255752593,1
0.9894693555063034,2.014917688353461,-1
2.7090844112986807,3.959894162790062,1
0.7069028304734193,2.251352941324326,-1
2.879073193652053,2.996949804742984,1
1.3201103877595126,2.3420764189083014,-1
3.315065148591235,1.8995538180671734,1
1.334760247586623,0.09502693211313051,-1
2.9084742824049337,3.2744503042517814,1
3.5050771488971666,0.8927871619258403,1
3.6633802790528036,2.3258705164913307,1
1.49866270842967,2.5873264270833136,-1
1.0543756655047591,2.026763109240282,-1
2.3440015836381067,1.7966528270867608,1
1.0529276099025557,0.8489910101613434,-1
3.1995432704647406,0.8750616359673118,1
0.7642374932030056,2.696141929499209,-1
1.302773378141268,1.5474832226774744,-1
1.3214710346475667,2.3557045429571732,-1
3.132442694168216,2.7354349748370597,1
1.167089377580434,2.7019661793337284,-1
0.7894038053410521,3.0149259893118785,-1
1.0176516674654053,2.1279716464486524,-1
3.3846264050253296,2.9686856821343506,1
1.4935117912536444,2.177958688094838,-1
1.4926843921101653,2.3262470411793834,-1
3.2770904584120215,1.4655006286366596,1
1.0800128349606082,1.6352370375734533,-1
1.366714643132765,3.3077009624812215,-1
3.5381089189322052,1.9561742698106668,1
0.6421254957188074,1.971548023557844,-1
